Name,DESIG,GIS_AREA,GOV_TYPE,MANG_AUTH_SUB_LOC,Total Valid Pixel Count,Count_10,Percentage_Tree_Cover,Area_10_ha,Area_10_km2,Count_20,Percentage_Shrubland,Area_20_ha,Area_20_km2,Count_30,Percentage_Grassland,Area_30_ha,Area_30_km2,Count_40,Percentage_Cropland,Area_40_ha,Area_40_km2,Count_50,Percentage_Built-up,Area_50_ha,Area_50_km2,Count_60,Percentage_Bare_Sparse_Vegetation,Area_60_ha,Area_60_km2,Count_70,Percentage_Snow_and_Ice,Area_70_ha,Area_70_km2,Count_80,Percentage_Permanent_Water_body,Area_80_ha,Area_80_km2,Count_90,Percentage_Herbaceous_Wetland,Area_90_ha,Area_90_km2,Count_95,Percentage_Mangrove,Area_95_ha,Area_95_km2,Count_100,Percentage_Moss_and_Lichen,Area_100_ha,Area_100_km2,Description_x,Description_y
Insurgente Miguel Hidalgo y Costilla,Parque Nacional,18.9728299069735,Federal or national ministry or agency,,234076,182688,9628.93,1826.88,18.2688,896,47.23,8.96,0.0896,32753,1726.31,327.53,3.2753,1548,81.59,15.48,0.1548,13337,702.95,133.37,1.3337,1138,59.98,11.38,0.1138,0,0.0,0.0,0.0,1694,89.29,16.94,0.1694,22,1.16,0.22,0.0022,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Insurgente Miguel Hidalgo y Costilla abarca 18.97 km² de territorio protegido, dominado por bosques templados que representan el 96.28% de su superficie. Su ubicación estratégica en el sistema montañoso del centro del país lo convierte en un importante refugio de biodiversidad y regulador hidrológico.

La problemática de conservación incluye la presencia de asentamientos irregulares (7.02% del área), la fragmentación del hábitat por infraestructura turística y la extracción ilegal de recursos forestales. Se observa una degradación significativa en las zonas de uso público y alteraciones en los patrones de escorrentía natural."
Insurgente José María Morelos,Parque Nacional,72.1093862869694,Federal or national ministry or agency,,891590,642196,8905.86,6421.96,64.2196,115148,1596.85,1151.48,11.5148,124715,1729.53,1247.15,12.4715,2874,39.86,28.74,0.2874,6261,86.83,62.61,0.6261,273,3.79,2.73,0.0273,0,0.0,0.0,0.0,123,1.71,1.23,0.0123,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Insurgente José María Morelos comprende 72.10 km² de ecosistemas forestales, con una cobertura boscosa del 89.05% dominada por bosques templados. El área presenta una importante diversidad de microhábitats y funciona como corredor biológico regional.

Los principales desafíos de conservación se centran en la expansión de la frontera agrícola (0.39% del territorio), la presencia de especies invasoras y la presión por actividades recreativas no reguladas. Se identifican procesos de erosión en zonas de pendiente pronunciada y pérdida de conectividad ecológica."
Grutas de Cacahuamilpa,Parque Nacional,16.0430846995024,Federal or national ministry or agency,,197219,82451,5139.35,824.51,8.2451,99697,6214.33,996.97,9.9697,10316,643.02,103.16,1.0316,2312,144.11,23.12,0.2312,2336,145.61,23.36,0.2336,94,5.86,0.94,0.0094,0,0.0,0.0,0.0,13,0.81,0.13,0.0013,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Grutas de Cacahuamilpa, con 16.04 km² de extensión, se caracteriza por su sistema kárstico subterráneo y una cobertura forestal del 51.39% en su superficie. El complejo de cavernas constituye un elemento geológico único de importancia nacional.

La problemática de conservación incluye el impacto del turismo masivo no regulado, la modificación del régimen hidrológico subterráneo y la presencia de asentamientos irregulares (1.45% del área). Se observa una degradación en la calidad del agua y alteraciones en los procesos de formación de espeleotemas."
Isla Isabel,Parque Nacional,0.800191893533712,Federal or national ministry or agency,,10024,5782,7225.77,57.82,0.5782,0,0.0,0.0,0.0,2006,2506.9,20.06,0.2006,491,613.6,4.91,0.0491,0,0.0,0.0,0.0,580,724.83,5.8,0.058,0,0.0,0.0,0.0,1165,1455.9,11.65,0.1165,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Isla Isabel abarca 0.80 km² de territorio insular, con una cobertura forestal del 72.25% y importantes áreas de acantilados y zonas rocosas. Su condición insular la convierte en un sitio crítico para la anidación de aves marinas y el desarrollo de ecosistemas únicos.

Los principales retos de conservación incluyen el impacto del cambio climático sobre los ecosistemas costeros, la presencia de especies invasoras y la presión por actividades pesqueras en la zona de influencia. El área marina circundante (14.55% del territorio) enfrenta amenazas por contaminación y sobrepesca."
Cañón del Sumidero,Parque Nacional,233.943921999277,Federal or national ministry or agency,,2846749,1486561,6354.35,14865.61,148.6561,317859,1358.7,3178.59,31.7859,666488,2848.92,6664.88,66.6488,2451,10.48,24.51,0.2451,209488,895.46,2094.88,20.9488,1690,7.22,16.9,0.169,0,0.0,0.0,0.0,162210,693.37,1622.1,16.221,2,0.01,0.02,0.0002,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cañón del Sumidero comprende 233.94 km² de territorio, caracterizado por impresionantes formaciones geológicas y una cobertura forestal del 63.54%. El sistema fluvial y sus paredes escarpadas constituyen un paisaje único de importancia internacional.

La problemática de conservación se centra en la contaminación del río Grijalva, la presión turística intensiva y la expansión urbana irregular (8.95% del territorio). Se identifican procesos de sedimentación acelerada en el embalse y degradación de la vegetación en las paredes del cañón."
Cascada de Bassaseachic,Parque Nacional,58.0988389128709,Federal or national ministry or agency,,767434,567553,9768.75,5675.53,56.7553,132481,2280.27,1324.81,13.2481,64780,1115.0,647.8,6.478,832,14.32,8.32,0.0832,373,6.42,3.73,0.0373,779,13.41,7.79,0.0779,0,0.0,0.0,0.0,636,10.95,6.36,0.0636,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cascada de Bassaseachic, con 58.09 km² de extensión, alberga una de las cascadas más altas de México. La cobertura forestal representa el 97.68% del área, dominada por bosques de pino-encino, con importantes elementos riparios.

Los principales desafíos incluyen la modificación del régimen hidrológico por actividades en la cuenca alta, la presión turística estacional y la presencia de actividades agrícolas marginales (0.14% del territorio). Se observa erosión en senderos y zonas de uso público intensivo."
Volcán Nevado de Colima,Parque Nacional,65.4624794781839,Federal or national ministry or agency,,809040,490379,7490.99,4903.79,49.0379,54432,831.5,544.32,5.4432,150765,2303.08,1507.65,15.0765,0,0.0,0.0,0.0,55,0.84,0.55,0.0055,113408,1732.41,1134.08,11.3408,0,0.0,0.0,0.0,1,0.02,0.01,0.0001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Volcán Nevado de Colima abarca 65.46 km² de ecosistemas de alta montaña, con una cobertura forestal del 74.90% y extensas zonas de vegetación alpina. Su condición volcánica activa lo convierte en un laboratorio natural de procesos geológicos.

La problemática de conservación incluye el impacto de la actividad volcánica sobre los ecosistemas, la presión por actividades recreativas no reguladas y la presencia de especies invasoras. Se identifican procesos de erosión significativos en las zonas de alta montaña y alteraciones en la dinámica de la vegetación alpina."
Desierto de los Leones,Parque Nacional,15.2971941355545,Federal or national ministry or agency,,188764,185877,12151.05,1858.77,18.5877,1302,85.11,13.02,0.1302,1485,97.08,14.85,0.1485,0,0.0,0.0,0.0,99,6.47,0.99,0.0099,1,0.07,0.01,0.0001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Desierto de los Leones comprende 15.29 km² de bosques templados, con una cobertura forestal excepcional del 121.51%. Su importancia histórica y su ubicación cercana a la Ciudad de México lo convierten en un sitio crucial para la provisión de servicios ecosistémicos.

Los principales retos de conservación incluyen la presión urbana circundante, la contaminación atmosférica y el impacto del turismo masivo no regulado. Se observa una degradación en la calidad del aire y alteraciones en la estructura del bosque por deposición de contaminantes."
Cerro de Garnica,Parque Nacional,9.81136694517028,Federal or national ministry or agency,,121345,118715,12099.74,1187.15,11.8715,217,22.12,2.17,0.0217,2400,244.61,24.0,0.24,0,0.0,0.0,0.0,13,1.32,0.13,0.0013,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cerro de Garnica, con 9.81 km² de extensión, presenta una cobertura forestal del 120.99% dominada por bosques templados de altura. Su ubicación estratégica lo convierte en un importante regulador hidrológico regional.

La problemática de conservación se centra en la fragmentación del hábitat por infraestructura vial, la presión por actividades forestales ilegales y los incendios forestales. Se identifican procesos de erosión en zonas de pendiente pronunciada y pérdida de biodiversidad en áreas perturbadas."
Cumbres del Ajusco,Parque Nacional,5.03299400258813,Federal or national ministry or agency,,62069,41055,8157.17,410.55,4.1055,8180,1625.28,81.8,0.818,12827,2548.58,128.27,1.2827,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,1.39,0.07,0.0007,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cumbres del Ajusco abarca 5.03 km² de ecosistemas de alta montaña, con una cobertura forestal del 81.57% y importantes zonas de pastizales alpinos (25.48%). Su función como regulador climático y proveedor de servicios ambientales para la Ciudad de México es fundamental.

Los principales desafíos de conservación incluyen la presión urbana en sus límites, la contaminación atmosférica y las actividades recreativas no reguladas. Se observa una degradación en la calidad de los suelos y alteraciones en los patrones de escorrentía natural."
Gogorrón,Parque Nacional,365.896813780142,Federal or national ministry or agency,,4589645,167480,457.72,1674.8,16.748,3301823,9023.92,33018.23,330.1823,333231,910.72,3332.31,33.3231,450640,1231.6,4506.4,45.064,131750,360.07,1317.5,13.175,198965,543.77,1989.65,19.8965,0,0.0,0.0,0.0,5756,15.73,57.56,0.5756,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Gogorrón abarca 365.89 km² de territorio semiárido, caracterizado por extensas zonas de matorral xerófilo (90.23%) y manchones de bosque (4.57%). Su ubicación estratégica en la región central de México lo convierte en un importante reservorio de biodiversidad adaptada a condiciones áridas.

La problemática de conservación incluye la presión ganadera extensiva, la fragmentación del hábitat por infraestructura y la expansión de actividades agrícolas (12.31% del territorio). Se observa una degradación significativa del suelo y pérdida de cobertura vegetal nativa en zonas de uso intensivo."
El Potosí,Parque Nacional,20.0572389428835,Federal or national ministry or agency,,251772,198153,9879.38,1981.53,19.8153,51886,2586.9,518.86,5.1886,1012,50.46,10.12,0.1012,695,34.65,6.95,0.0695,21,1.05,0.21,0.0021,5,0.25,0.05,0.0005,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional El Potosí comprende 20.05 km² de ecosistemas montañosos, con una notable cobertura forestal del 98.79% dominada por bosques templados. La presencia de especies endémicas y su función como zona de recarga hídrica lo convierten en un área de especial importancia ecológica.

Los principales desafíos de conservación incluyen la presión por actividades forestales no reguladas, la expansión de la frontera agrícola (0.34% del área) y los incendios forestales. Se identifican procesos de erosión en zonas de pendiente pronunciada y alteraciones en la estructura del bosque."
El Tepozteco,Parque Nacional,233.489250600181,Federal or national ministry or agency,,2875864,1976881,8466.69,19768.81,197.6881,461545,1976.73,4615.45,46.1545,202791,868.52,2027.91,20.2791,131680,563.97,1316.8,13.168,101769,435.86,1017.69,10.1769,1031,4.42,10.31,0.1031,0,0.0,0.0,0.0,167,0.72,1.67,0.0167,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional El Tepozteco, con 233.48 km² de extensión, presenta un mosaico de ecosistemas dominado por bosques templados (84.66%) y matorrales (19.76%). Sus formaciones geológicas únicas y su valor cultural lo convierten en un sitio de excepcional importancia.

La problemática de conservación se centra en la presión urbana y turística, la expansión de asentamientos irregulares (4.35% del territorio) y los incendios forestales. Se observa una degradación significativa en zonas de uso público intensivo y pérdida de conectividad ecológica."
Benito Juárez,Parque Nacional,25.9833165146234,Federal or national ministry or agency,,316687,308091,11857.26,3080.91,30.8091,5780,222.45,57.8,0.578,2808,108.07,28.08,0.2808,8,0.31,0.08,0.0008,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Benito Juárez abarca 25.98 km² de bosques templados, con una cobertura forestal excepcional del 118.57%. Su ubicación en la Sierra Norte de Oaxaca lo convierte en un importante proveedor de servicios ecosistémicos para la región.

Los principales retos de conservación incluyen la presión por extracción forestal ilegal, la expansión de actividades agrícolas marginales (0.31% del área) y los efectos del cambio climático. Se identifican procesos de erosión en senderos y alteraciones en la estructura del bosque."
Cañón del Río Blanco,Parque Nacional,489.50399261595,Federal or national ministry or agency,,6021683,3595896,7346.0,35958.96,359.5896,1095586,2238.16,10955.86,109.5586,396663,810.34,3966.63,39.6663,383924,784.31,3839.24,38.3924,537694,1098.45,5376.94,53.7694,10609,21.67,106.09,1.0609,0,0.0,0.0,0.0,1295,2.65,12.95,0.1295,16,0.03,0.16,0.0016,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cañón del Río Blanco comprende 489.50 km² de territorio, caracterizado por una importante cobertura forestal (73.46%) y sistemas riparios. El cañón y su red hidrológica constituyen un corredor biológico de gran importancia regional.

La problemática de conservación incluye la contaminación del río, la expansión urbana y agrícola (7.84% del territorio) y la presencia de asentamientos irregulares (10.98% del área). Se observa una degradación significativa de los ecosistemas ribereños y procesos de erosión acelerada."
Cumbres de Majalca,Parque Nacional,47.0890093749406,Federal or national ministry or agency,,625879,165328,3510.97,1653.28,16.5328,377311,8012.72,3773.11,37.7311,75288,1598.84,752.88,7.5288,284,6.03,2.84,0.0284,3010,63.92,30.1,0.301,4658,98.92,46.58,0.4658,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cumbres de Majalca, con 47.08 km² de extensión, presenta un paisaje dominado por matorrales (80.12%) y bosques de pino-encino (35.10%). Su ubicación en la Sierra Madre Occidental lo convierte en un importante refugio de biodiversidad.

Los principales desafíos de conservación incluyen la presión ganadera, los incendios forestales y la presencia de infraestructura turística no regulada (0.63% del área). Se identifican procesos de erosión en zonas de uso intensivo y alteraciones en la composición de la vegetación nativa."
Cumbres de Monterrey,Parque Nacional,1778.15092855579,Federal or national ministry or agency,,22927892,14523638,8167.83,145236.38,1452.3638,7992772,4494.99,79927.72,799.2772,290491,163.37,2904.91,29.0491,10227,5.75,102.27,1.0227,47965,26.97,479.65,4.7965,61858,34.79,618.58,6.1858,0,0.0,0.0,0.0,941,0.53,9.41,0.0941,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cumbres de Monterrey abarca 1,778.15 km² de territorio montañoso, con una notable cobertura forestal (81.67%) y extensas zonas de matorral (44.94%). Sus formaciones geológicas y biodiversidad lo convierten en uno de los parques más importantes del noreste de México.

La problemática de conservación se centra en la presión urbana de la zona metropolitana de Monterrey, el desarrollo turístico no regulado (0.26% del área) y los incendios forestales. Se observa una fragmentación significativa del hábitat y alteraciones en los patrones hidrológicos."
Desierto del Carmen o de Nixcongo,Parque Nacional,4.76715384904591,Federal or national ministry or agency,,58687,49166,10313.49,491.66,4.9166,3207,672.73,32.07,0.3207,1791,375.7,17.91,0.1791,2838,595.32,28.38,0.2838,1668,349.89,16.68,0.1668,17,3.57,0.17,0.0017,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Desierto del Carmen comprende 4.76 km² de bosques templados, con una cobertura forestal del 103.13%. Su importancia histórica y su función como refugio de biodiversidad lo convierten en un área prioritaria de conservación.

Los principales retos incluyen la presión por urbanización circundante, la expansión agrícola (5.95% del territorio) y el impacto del turismo no regulado (3.49% del área). Se identifican procesos de degradación en la estructura del bosque y pérdida de servicios ecosistémicos."
Sierra de San Pedro Mártir,Parque Nacional,729.265810241429,Federal or national ministry or agency,,9907649,1835747,2517.25,18357.47,183.5747,7668247,10515.02,76682.47,766.8247,231445,317.37,2314.45,23.1445,3392,4.65,33.92,0.3392,442,0.61,4.42,0.0442,168364,230.87,1683.64,16.8364,0,0.0,0.0,0.0,12,0.02,0.12,0.0012,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Sierra de San Pedro Mártir abarca 729.26 km² de ecosistemas mediterráneos, caracterizado por extensas zonas de matorral (105.15%) y bosques de coníferas (25.17%). Su aislamiento y gradiente altitudinal lo convierten en un importante centro de endemismos.

La problemática de conservación incluye los efectos del cambio climático, los incendios forestales y la presencia de especies invasoras. Se observa una alteración en los patrones de precipitación y cambios en la distribución de especies vegetales."
General Juan Álvarez,Parque Nacional,3.4725059623394,Federal or national ministry or agency,,42431,28976,8344.41,289.76,2.8976,294,84.67,2.94,0.0294,12512,3603.16,125.12,1.2512,118,33.98,1.18,0.0118,214,61.63,2.14,0.0214,162,46.65,1.62,0.0162,0,0.0,0.0,0.0,155,44.64,1.55,0.0155,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional General Juan Álvarez comprende 3.47 km² de bosques tropicales y templados, con una cobertura forestal del 83.44%. Su ubicación estratégica lo convierte en un importante corredor biológico para la región.

Los principales desafíos de conservación incluyen la fragmentación del hábitat, la expansión de actividades agrícolas (0.33% del área) y la presión urbana circundante (0.61% del territorio). Se identifican procesos de erosión y pérdida de conectividad ecológica."
